dataset_id,tile_r,tile_c,tile_h,tile_w,channels
2023-06-15_19h47m33s,512,1792,256,256,16
2023-06-15_19h47m33s,512,2048,256,256,30
2023-06-15_19h47m33s,512,2304,256,256,60
2023-09-28_11h33m43s,0,0,256,256,43
2023-09-28_11h33m43s,0,256,256,256,58
2023-09-28_11h33m43s,0,512,256,256,19
2023-09-28_11h33m43s,0,768,256,256,45
2023-09-28_11h33m43s,0,1024,256,256,36
2023-09-28_11h33m43s,0,1536,256,256,42
2023-09-28_11h33m43s,0,1792,256,256,13
2023-09-28_11h33m43s,0,2048,256,256,47
2023-09-28_11h33m43s,0,2304,256,256,40
2023-09-28_11h33m43s,256,0,256,256,15
2023-09-28_11h33m43s,256,256,256,256,19
2023-09-28_11h33m43s,256,768,256,256,25
2023-09-28_11h33m43s,256,1024,256,256,11
2023-09-28_11h33m43s,256,2048,256,256,12
2023-09-28_11h33m43s,512,0,256,256,26
2023-09-28_11h33m43s,512,256,256,256,64
2023-09-28_11h33m43s,512,768,256,256,64
2023-09-28_11h33m43s,512,1024,256,256,52
2023-09-28_11h33m43s,512,1280,256,256,18
2023-09-28_11h33m43s,512,1536,256,256,64
2023-09-28_11h33m43s,512,1792,256,256,17
2023-09-28_11h33m43s,512,2048,256,256,34
2023-09-28_11h33m43s,512,2304,256,256,64
2023-06-16_07h54m01s,0,0,256,256,20
2023-06-16_07h54m01s,0,256,256,256,27
2023-06-16_07h54m01s,0,768,256,256,9
2023-06-16_07h54m01s,0,1024,256,256,14
2023-06-16_07h54m01s,0,1536,256,256,39
2023-06-16_07h54m01s,256,0,256,256,15
2023-06-16_07h54m01s,256,256,256,256,21
2023-06-16_07h54m01s,256,768,256,256,19
2023-06-16_07h54m01s,256,1024,256,256,9
2023-06-16_07h54m01s,256,1536,256,256,13
2023-06-16_07h54m01s,512,0,256,256,24
2023-06-16_07h54m01s,512,256,256,256,36
2023-06-16_07h54m01s,512,512,256,256,9
2023-06-16_07h54m01s,512,768,256,256,23
2023-06-16_07h54m01s,512,1024,256,256,15
2023-06-16_07h54m01s,512,1280,256,256,11
2023-06-16_07h54m01s,512,1536,256,256,56
2023-06-16_07h54m01s,512,1792,256,256,18
2023-06-16_07h54m01s,512,2304,256,256,26
2023-09-28_11h44m16s,0,256,256,256,11
2023-09-28_11h44m16s,0,768,256,256,13
2023-09-28_11h44m16s,0,1024,256,256,9
2023-09-28_11h44m16s,0,1280,256,256,9
2023-09-28_11h44m16s,0,1536,256,256,17
2023-09-28_11h44m16s,256,768,256,256,13
2023-09-28_11h44m16s,256,1536,256,256,12
2023-09-28_11h44m16s,256,2048,256,256,11
2023-09-28_11h44m16s,512,0,256,256,13
2023-09-28_11h44m16s,512,256,256,256,24
2023-09-28_11h44m16s,512,768,256,256,38
2023-09-28_11h44m16s,512,1024,256,256,16
2023-09-28_11h44m16s,512,1280,256,256,14
2023-09-28_11h44m16s,512,1536,256,256,26
2023-09-28_11h44m16s,512,2048,256,256,25
2023-09-28_11h44m16s,512,2304,256,256,28
2022-03-24_16h56m33s,0,0,256,256,15
2024-12-02_10h24m02s,0,2304,256,256,64
2024-12-02_10h24m02s,256,0,256,256,64
2023-09-07_11h00m06s,0,0,256,256,64
2023-09-07_11h00m06s,0,256,256,256,64
2025-08-22_19h54m23s,0,0,256,256,21
2023-06-09_10h38m10s,0,0,256,256,30
2023-06-01_19h16m41s,0,0,256,256,54
2023-06-01_19h16m41s,0,2560,256,256,52
2023-06-01_19h16m41s,0,3072,256,256,50
2023-06-01_19h16m41s,256,768,256,256,53
2023-06-01_19h16m41s,512,2816,256,256,54
2023-06-01_19h16m41s,512,3072,256,256,18
2023-06-01_19h16m41s,768,1536,256,256,55
2023-06-01_19h16m41s,1024,4352,256,256,50
2023-09-28_11h13m13s,0,0,256,256,61
2023-09-28_11h13m13s,0,256,256,256,64
2023-09-28_11h13m13s,0,512,256,256,12
2023-09-28_11h13m13s,0,768,256,256,50
2023-09-28_11h13m13s,0,1024,256,256,33
